,artist_name,track_name,track_id,popularity,explicit,year_song,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
522,Cuco,Bossa No Sé (feat. Jean Carter),3kEsMLO3qUUwiXeCndsMIb,72,True,2019,0.512,0.826,201264,0.677,0.0,4,0.115,-5.401,1,0.0461,134.118,4,0.433
523,Lil Baby,Out The Mud,2wZjsbwmWfNVslgV5afl1L,71,True,2019,0.00944,0.746,157816,0.497,8.6e-05,1,0.101,-5.785,1,0.149,160.051,4,0.25
524,Young Thug,Diamonds (feat. Gunna),2HIjQZsmscClqRGbfzwAgK,71,True,2019,0.00424,0.919,210733,0.367,0.00019,10,0.175,-9.546,0,0.464,147.033,4,0.228
525,Sech,Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,84,True,2019,0.136,0.747,225933,0.7,0.000167,0,0.11,-4.669,1,0.341,176.036,4,0.62
526,Noah Cyrus,Lonely,3Lp8Xd2K7TwlY32SPvXkvF,75,False,2019,0.779,0.594,144387,0.26,0.0,5,0.0924,-9.062,1,0.0601,84.648,3,0.303
527,Marshmello,Tongue Tied (with YUNGBLUD & blackbear),7jzldCBnJjpJM3epzJ85KE,77,True,2019,0.0208,0.628,186024,0.821,0.0,1,0.426,-2.721,0,0.0525,93.001,4,0.465
528,Chance the Rapper,GRoCERIES,0yFvWTLs3iIwDbc91noXGT,71,False,2019,0.0578,0.906,226846,0.596,0.0,0,0.109,-5.88,0,0.243,144.038,4,0.701
529,Kane Brown,Lose It,7epGknfpAlH1u33S71Ur1o,70,False,2019,0.00245,0.544,178987,0.854,1.2e-06,4,0.249,-4.968,0,0.0289,91.966,4,0.436
530,Dalex,Pa Mí - Remix,7g8YaUQABMal0zWe7a2ijz,84,True,2019,0.753,0.688,360960,0.62,5.27e-06,11,0.158,-8.029,0,0.22,170.018,4,0.727
531,Tee Grizzley,Satish,4hbcs8vaamKTPevPIJsY7N,70,True,2019,0.246,0.745,195918,0.704,0.0,0,0.314,-6.962,1,0.233,98.042,4,0.56
532,Still Woozy,Habit,4BsLwvaJOTOHDNg7xMpvrL,71,True,2019,0.154,0.767,153872,0.392,0.000398,1,0.108,-11.996,1,0.0945,125.017,4,0.48
533,Dylan Scott,Nobody,5TWAIHYaOnYg4txfmCgon5,70,False,2019,0.519,0.573,160707,0.747,1.13e-06,0,0.0867,-6.46,1,0.0319,79.952,4,0.645
